accession	gene_name
Q59998	ziaA
Q55940	ziaR
P76344	zinT
Q7WJT8	BB2405
P75757	zitB
Q1LCD7	zneB
P37617	zntA
P0ACS5	zntR
P39172	znuA
P39832	znuB
P0A9X1	znuC
Q9L9I0	zraP
P14375	zraR
P14377	zraS
P0A8H3	zupT
P0AC51	zur
I7B1B9	bcrA
I7A797	bcrB
I6ZWM1	bcrC
DNA-binding response regulator [Enterococcus faecium E1162] GN=chtR	chtR
sensor histidine kinase [Enterococcus faecium E1162] GN=chtS	chtS
ArrA (Twin-arginine translocation pathway signal)	arrA
 ArrB [Shewanella sp	Shewanella sp. ANA-3
E9NM73	E9NM73
A0A0F6QDN6	pcopM
B7FB00	arsT
W1L7N4	aioE
D4PBS1	copA
D4PBS3	copG
D4PBS2	copB
D4PBS0	copR
D4PBR9	copS
Q9L912	copC
Q9L913	copB
Q9L914	copA
O32221	copZ
Q59385	copA
Q7WYG9	copC
Q7WYH0	copB
Q2FV63	copZ
Q56795	copA
Q56798	pcoD
Q56796	Q56796
Q56797	Q56797
O07586	cueR
Q9KWM9	Q9KWM9
Q9KWM8	copD
Q3MNJ7	tcrY
Q3MNJ6	tcrA
Q3MNJ5	tcrZ
F4ZBX2	copL
F4ZBX1	F4ZBX1
F4ZBX5	copM
F4ZBX7	copG
F4ZBY1	copF
F4ZBY0	copD
Q7X4G2	Q7X4G2
Q7X4G1	Q7X4G1
Q7X4G0	czcC
Q7X4F9	Q7X4F9
Q7X4F8	copR
I2EC90	fabI
A0A1Z2RUL8	galE
Q1LA62	copV
B2CQV6	copR
B0VDE7	abuO
WP_011730513	ctpD
WP_003896801	ctpD
WP_058126902	ctpD
OKH66118	ctpD
WP_049745192	ctpD
WP_083631880	ctpD
WP_067844445	ctpD
WP_085144107	ctpD
OKH80100	ctpD
WP_036438050	ctpD
WP_073905576	ctpD
WP_090517966	ctpD
WP_076241453	ctpD
WP_075922337	ctpD
WP_077742823	ctpD
WP_065510614	ctpD
WP_067763942	ctpD
WP_036447921	ctpD
WP_055120633	ctpD
WP_065516238	ctpD
WP_065457375	ctpD
WP_036475768	ctpD
WP_090428852	ctpD
WP_051753163	ctpD
WP_069426077	ctpD
GAT00547	ctpD
WP_064931792	ctpD
WP_064896639	ctpD
WP_085143198	ctpD
WP_065061878	ctpD
WP_076213667	ctpD
WP_039324564	ctpD
WP_044521693	ctpD
WP_047040085	ctpD
WP_064875958	ctpD
WP_061262588	ctpD
WP_064887117	ctpD
WP_064959718	ctpD
WP_064914889	ctpD
WP_076205985	ctpD
WP_065053617	ctpD
WP_039381781	ctpD
WP_070944706	ctpD
WP_064898654	ctpD
WP_076194284	ctpD
WP_054604261	ctpD
WP_070187654	ctpD
WP_059098427	ctpD
WP_076180732	ctpD
WP_064915312	ctpD
WP_064849509	ctpD
WP_065020629	ctpD
WP_085163025	ctpD
WP_036397105	ctpD
WP_065147745	ctpD
WP_038567181	ctpD
WP_067912323	ctpD
WP_083096904	ctpD
GAT08343	ctpD
WP_082959210	ctpD
WP_085252192	ctpD
KUH92831	ctpD
WP_083298416	ctpD
OBH74747	ctpD
WP_083049194	ctpD
WP_090605990	ctpD
SEH74842	ctpD
WP_083061743	ctpD
BAV41975	ctpD
WP_057168241	ctpD
GAQ38934	ctpD
WP_020728607	ctpD
WP_096289885	ctpD
WP_067388101	ctpD
WP_042509879	ctpD
WP_064422106	ctpD
WP_064412087	ctpD
WP_051641473	ctpD
WP_094361529	ctpD
WP_036449808	ctpD
EPQ76049	ctpD
WP_090558845	ctpD
WP_015303041	ctpD
WP_051936828	ctpD
WP_077086017	ctpD
WP_066825993	ctpD
KUI44070	ctpD
WP_082696524	ctpD
WP_012394029	ctpD
KUM05780	ctpD
WP_011739619	ctpD
WP_081286550	ctpD
WP_042914904	ctpD
WP_065155748	ctpD
WP_015289886	ctpD
AMP26006	ctpD
WP_085671916	ctpD
WP_063470154	ctpD
WP_044507851	ctpD
WP_067258303	ctpD
WP_085325132	ctpD
WP_083114105	ctpD
WP_065138053	ctpD
WP_051545345	ctpD
WP_031673423	ctpD
WP_075543271	ctpD
WP_068914870	ctpD
WP_053716496	ctpD
OOK66537	ctpD
WP_065145994	ctpD
WP_068194550	ctpD
OOK77688	ctpD
WP_085219786	ctpD
ORA81812	ctpD
WP_069400534	ctpD
WP_085166257	ctpD
WP_023373336	ctpD
KZS78827	ctpD
WP_055374198	ctpD
WP_096865706	ctpD
OIN77956	ctpD
WP_083010881	ctpD
WP_083128751	ctpD
WP_083124748	ctpD
ARG78573	ctpD
ARG84038	ctpD
WP_082275301	ctpD
ORC04230	ctpD
WP_080773694	ctpD
WP_055384403	ctpD
WP_031724563	ctpD
WP_049958079	ctpD
AIH87811	ctpD
KIN18456	ctpD
WP_009937565	ctpD
KCQ90719	ctpD
WP_057133415	ctpD
WP_031647537	ctpD
WP_057333337	ctpD
WP_078452015	ctpD
WP_031676910	ctpD
KAO26634	ctpD
WP_049963572	ctpD
WP_049956568	ctpD
WP_057354941	ctpD
WP_055368387	ctpD
WP_057361928	ctpD
WP_057363873	ctpD
WP_070899481	ctpD
WP_049960457	ctpD
WP_055367583	ctpD
WP_057320447	ctpD
WP_055369609	ctpD
WP_003900344	ctpD
WP_055376772	ctpD
WP_055327368	ctpD
WP_055380646	ctpD
WP_052635124	ctpD
WP_055372340	ctpD
WP_057371602	ctpD
WP_057345297	ctpD
WP_003904631	ctpD
WP_031680987	ctpD
WP_034162201	ctpD
WP_057308151	ctpD
WP_057360525	ctpD
WP_003407495	ctpD
WP_057358740	ctpD
WP_057330358	ctpD
WP_057351219	ctpD
AEJ46555	ctpD
KCR30039	ctpD
WP_083562780	ctpD
CMT35296	ctpD
ORB86821	ctpD
ORB93166	ctpD
ORB44110	ctpD
WP_057130205	ctpD
WP_031722815	ctpD
WP_031706860	ctpD
WP_057336081	ctpD
WP_055353712	ctpD
WP_031678376	ctpD
WP_031711951	ctpD
WP_031676562	ctpD
WP_057357356	ctpD
WP_057128954	ctpD
WP_050895890	ctpD
WP_057126304	ctpD
WP_095794266	ctpD
WP_031652271	ctpD
WP_031689473	ctpD
AIH35077	ctpD
AIH28092	ctpD
WP_057363351	ctpD
AIH70211	ctpD
WP_086154109	ctpD
WP_031738224	ctpD
WP_057334782	ctpD
WP_057360093	ctpD
WP_057340697	ctpD
WP_057359551	ctpD
WP_057125577	ctpD
WP_055352565	ctpD
WP_003902084	ctpD
WP_057350894	ctpD
WP_025290113	ctpD
WP_057139694	ctpD
WP_055356420	ctpD
WP_055351200	ctpD
WP_057367035	ctpD
WP_052655802	ctpD
WP_057174758	ctpD
AHJ46369	ctpD
WP_036401034	ctpD
EUA12028	ctpD
WP_063467226	ctpD
WP_065129134	ctpD
WP_065037650	ctpD
WP_057137780	ctpD
WP_055374548	ctpD
WP_057353311	ctpD
WP_055353080	ctpD
WP_057365585	ctpD
WP_067408958	ctpD
WP_075510564	ctpD
AIH57843	ctpD
WP_057337653	ctpD
WP_057341286	ctpD
WP_036414815	ctpD
WP_068193352	ctpD
WP_081915671	ctpD
WP_052720145	ctpD
CFE39118	ctpD
WP_055695793	ctpD
WP_055573499	ctpD
WP_083736809	ctpD
WP_065119960	ctpD
WP_023590186	ctpD
WP_068031845	ctpD
AGL23150	ctpD
ALV54207	ctpD
WP_033274206	ctpD
WP_037637589	ctpD
WP_089511032	ctpD
WP_068164711	ctpD
WP_070930969	ctpD
WP_093345381	ctpD
WP_093655880	ctpD
WP_085075755	ctpD
WP_097869300	ctpD
WP_097934498	ctpD
WP_055592875	ctpD
WP_033302996	ctpD
WP_093261707	ctpD
WP_084904746	ctpD
WP_092617574	ctpD
WP_055626285	ctpD
WP_032792916	ctpD
WP_073866165	ctpD
WP_097912475	ctpD
WP_047178914	ctpD
WP_069754431	ctpD
WP_057174797	ctpD
WP_057172338	ctpD
WP_057130736	ctpD
WP_057125145	ctpD
WP_014000786	ctpD
WP_015292974	ctpD
WP_084425471	ctpD
WP_079041968	ctpD
WP_030705856	ctpD
WP_072139356	ctpD
WP_062781707	ctpD
WP_073876522	ctpD
WP_086160536	ctpD
WP_057350697	ctpD
WP_023643793	ctpD
WP_031708971	ctpD
WP_031731234	ctpD
WP_057360180	ctpD
WP_031684556	ctpD
WP_057174467	ctpD
WP_044290988	ctpD
WP_057357152	ctpD
WP_055354359	ctpD
WP_031733471	ctpD
WP_057134449	ctpD
WP_044096354	ctpD
WP_050987862	ctpD
WP_073739768	ctpD
EHM25410	ctpD
WP_098021733	ctpD
WP_087764870	ctpD
WP_078073418	ctpD
WP_055579447	ctpD
WP_030171735	ctpD
WP_095750774	ctpD
OKI29104	ctpD
WP_083668491	ctpD
WP_069736368	ctpD
WP_089006552	ctpD
WP_070899331	ctpD
WP_031714203	ctpD
WP_034161776	ctpD
WP_057342161	ctpD
WP_057348828	ctpD
WP_057336296	ctpD
WP_057354525	ctpD
WP_052615745	ctpD
WP_003907673	ctpD
WP_055378238	ctpD
WP_031648073	ctpD
WP_079367658	ctpD
WP_052636359	ctpD
WP_073957621	ctpD
WP_098891536	ctpD
WP_037778433	ctpD
WP_055558320	ctpD
WP_030258315	ctpD
WP_069741270	ctpD
WP_093148459	ctpD
WP_066027966	ctpD
WP_030827536	ctpD
WP_060950308	ctpD
WP_086725257	ctpD
WP_073802755	ctpD
WP_031724034	ctpD
WP_085982090	ctpD
WP_093849532	ctpD
WP_030380151	ctpD
WP_093873118	ctpD
WP_065164177	ctpD
WP_083673158	ctpD
WP_078895273	ctpD
WP_079105275	ctpD
WP_077007271	ctpD
WP_094051970	ctpD
WP_032765741	ctpD
WP_043262587	ctpD
EFF88186	ctpD
WP_043263151	ctpD
WP_079182131	ctpD
WP_079115543	ctpD
WP_074995165	ctpD
WP_064979482	ctpD
WP_097968015	ctpD
WP_084772325	ctpD
WP_037908923	ctpD
WP_057665884	ctpD
WP_098750839	ctpD
OKI46446	ctpD
WP_043185670	ctpD
WP_071380930	ctpD
WP_065046734	ctpD
WP_061258546	ctpD
WP_020943641	ctpD
WP_065132664	ctpD
WP_051820784	ctpD
WP_026290893	ctpD
WP_030078516	ctpD
WP_030624816	ctpD
WP_030936063	ctpD
WP_070023156	ctpD
WP_026412219	ctpD
WP_067136350	ctpD
WP_089228756	ctpD
WP_009944601	ctpD
WP_095710302	ctpD
WP_026151469	ctpD
WP_033238029	ctpD
SNB90693	ctpD
WP_082976692	ctpD
