accession	gene_name
WP_006756394	adeL
WP_026229404	adeL
WP_028194942	adeL
WP_074286780	adeL
WP_026068161	adeL
KGD22270	adeL
WP_042306527	adeL
WP_098736871	adeL
WP_038749600	adeL
OJD09324	adeL
WP_031401784	adeL
WP_027806807	adeL
WP_011694866	adeL
WP_059599085	adeL
WP_050017335	adeL
WP_089489807	adeL
WP_060968291	adeL
WP_053524464	adeL
WP_077187215	adeL
WP_077021358	adeL
WP_006484497	adeL
WP_059528491	adeL
WP_069260823	adeL
WP_069243366	adeL
WP_059641580	adeL
WP_059692278	adeL
WP_011353907	adeL
WP_011492407	adeL
WP_007177893	adeL
WP_073430158	adeL
WP_085485456	adeL
WP_083082473	adeL
WP_079435787	adeL
WP_074268749	adeL
WP_059499392	adeL
WP_011546849	adeL
WP_085043099	adeL
GAU06201	adeL
WP_069621523	adeL
WP_096506600	adeL
EAY66282	adeL
WP_039367883	adeL
WP_089441543	adeL
WP_089470687	adeL
WP_077180658	adeL
WP_069252571	adeL
WP_077176419	adeL
WP_034203242	adeL
WP_077234723	adeL
WP_035480232	adeL
WP_095421308	adeL
WP_013590651	adeL
WP_093634718	adeL
WP_028360726	adeL
WP_069749229	adeL
WP_097396033	adeL
WP_034206050	adeL
WP_089484924	adeL
WP_089448498	adeL
WP_072444546	adeL
WP_059526767	adeL
WP_059487427	adeL
WP_027781545	adeL
WP_098554139	adeL
WP_077215472	adeL
AOL07856	adeL
WP_006049438	adeL
WP_034187786	adeL
WP_027800597	adeL
WP_074269033	adeL
WP_028202645	adeL
WP_069261683	adeL
WP_026259123	adeL
WP_096473390	adeL
WP_034181748	adeL
WP_042266682	adeL
WP_091995987	adeL
WP_028209706	adeL
WP_035527880	adeL
WP_027817120	adeL
WP_028220758	adeL
WP_038710166	adeL
WP_065057648	adeL
WP_035997006	adeL
WP_007745962	adeL
WP_042324689	adeL
WP_012426421	adeL
WP_025596796	adeL
KPD16847	adeL
WP_063499843	adeL
WP_026685702	adeL
WP_054920714	adeL
WP_013342720	adeL
WP_074769749	adeL
WP_082163234	adeL
WP_075657558	chrF
WP_034367505	chrF
CBL87894	chrF
WP_013965818	chrF
WP_092352087	chrF
WP_092432356	chrF
WP_092416157	chrF
WP_092400996	chrF
OGB72095	chrF
WP_020485860	chrF
OLE96069	chrF
WP_019577774	chrF
WP_039013023	chrF
WP_005797792	chrF
WP_055769683	chrF
WP_019578216	chrF
AGW95295	chrF
WP_042875967	chrF
WP_035874113	chrF
WP_034398766	chrF
WP_059400719	chrF
WP_008952707	chrF
WP_024303024	chrF
WP_078200166	chrF
WP_023100538	chrF
WP_045242333	chrF
WP_059441175	chrF
WP_018309480	chrF
WP_063238894	chrF
WP_003074445	chrF
WP_092007668	chrF
WP_045840223	chrF
WP_027477851	chrF
WP_019866782	chrF
WP_024974048	chrF
WP_071012704	chrF
WP_031653035	chrF
WP_007933867	chrF
WP_006161762	chrF
WP_043354142	chrF
EKD97075	chrF
WP_057785406	chrF
WP_088620686	chrF
WP_019719542	chrF
WP_028860956	chrF
WP_039574239	chrF
WP_092595478	chrF
WP_018004511	chrF
SCY86081	chrF
WP_003276379	chrF
WP_097909377	chrF
WP_016725380	chrF
WP_039597370	chrF
AKZ28558	chrF
WP_071093542	chrF
CUV47871	chrF
WP_049832925	chrF
WP_019719352	chrF
WP_088148742	chrF
WP_034367502	chrC
KYP12580	chrC
WP_024303025	chrC
WP_028240156	chrC
SCY86065	chrC
WP_081543839	chrC
WP_008952709	chrC
WP_024542613	chrC
WP_017677028	chrC
WP_057785404	chrC
WP_017515809	chrC
WP_090567850	chrC
WP_076591780	chrC
WP_042875969	chrC
WP_063238895	chrC
WP_018004512	chrC
AGW95296	chrC
WP_039013104	chrC
WP_082697579	chrC
WP_024974047	chrC
WP_090869461	chrC
WP_028229843	chrC
WP_028215475	chrC
WP_078200168	chrC
WP_028860957	chrC
OYU35199	chrC
KUR73193	chrC
ABO59526	chrC
WP_026200463	chrC
WP_043283499	chrC
WP_026225767	chrC
WP_019719543	chrC
WP_019198931	chrC
WP_083554721	chrC
WP_082364562	chrC
OYU71304	chrC
WP_004616703	chrC
WP_073693065	chrC
WP_085937073	chrC
WP_092827547	chrC
WP_082749465	chrC
WP_035874110	chrC
WP_079978896	chrC
WP_077161524	chrC
WP_021225201	chrC
KPF87591	chrC
WP_020205265	chrC
WP_095687453	chrC
WP_018321819	chrC
WP_095410631	chrC
WP_095400921	chrC
WP_093201120	chrC
WP_092827543	chrC
WP_092007669	chrC
WP_019042584	chrC
ODT85041	chrC
WP_069275831	chrC
KNZ31908	chrC
WP_081911732	chrC
OYU98825	chrC
WP_093292526	chrC
WP_077082466	chrC
WP_094304314	chrC
WP_071333510	chrC
WP_091889834	chrC
ODU50646	chrC
WP_049284885	chrC
ODU30385	chrC
OYW36273	chrC
WP_055769685	chrC
ABM53865	chrC
OJU45294	chrC
WP_081855558	chrC
WP_079648876	chrC
OJU45282	chrC
WP_060307005	chrC
WP_095744287	chrC
WP_018904811	chrC
WP_015865808	chrC
WP_062365043	chrC
WP_095946841	chrC
OJW61602	chrC
WP_079867994	chrC
WP_054881238	chrC
WP_069017347	chrC
WP_084809504	chrC
WP_063701899	chrC
OLB72547	chrC
WP_028168339	chrC
WP_070061807	chrC
WP_092187514	chrC
WP_024520409	chrC
WP_044588617	chrC
WP_076867080	chrC
WP_074129800	chrC
WP_028162932	chrC
KRB43936	chrC
WP_082602055	chrC
WP_083216031	chrC
OXE35969	chrC
WP_082660321	chrC
WP_088483080	chrC
WP_062468854	chrC
WP_035607651	chrC
WP_026870289	chrC
OFX06951	chrC
WP_010458315	chrC
WP_027548195	chrC
WP_092290842	chrC
WP_044542348	chrC
WP_043354146	chrC
WP_045786190	chrC
WP_050628324	chrC
WP_064707217	chrC
WP_013721859	chrC
WP_064697001	chrC
WP_092751198	chrC
WP_045536163	chrC
CAD24359	chrC
WP_009550107	chrC
SFJ80429	chrC
WP_012048749	chrC
WP_068032443	chrC
ETW98046	chrC
WP_084238522	chrC
WP_057224367	chrC
WP_057271655	chrC
WP_094286130	chrC
WP_063984563	chrC
SED31898	chrC
WP_050406336	chrC
WP_085402724	chrC
WP_074580197	chrC
KTE20788	chrC
WP_043421448	chrC
WP_082749387	chrC
WP_035227957	chrC
WP_046869411	chrC
WP_095731904	chrC
WP_082357311	chrC
WP_029380760	chrC
WP_064685733	chrC
WP_050578520	chrC
WP_056814393	chrC
WP_033986565	chrC
WP_063460223	chrC
WP_028159682	chrC
WP_071915631	chrC
WP_097676651	chrC
WP_047195058	chrC
OYX05088	chrC
OJY45825	chrC
WP_076471924	chrC
WP_073672133	chrC
WP_097584461	chrC
WP_051982977	chrC
WP_033470572	chrC
WP_069881716	chrC
WP_089720167	chrC
OGB10390	chrC
WP_055396116	chrC
OGA81431	chrC
WP_027521241	chrC
WP_029077783	chrC
WP_074278610	chrC
WP_079607296	chrC
WP_060984177	chrC
WP_066695670	chrC
WP_019577775	chrC
WP_034398763	chrC
WP_045840222	chrC
WP_095686871	chrC
WP_043341867	chrC
WP_045003920	chrC
WP_045011353	chrC
WP_028147969	chrC
WP_011090288	chrC
WP_028173935	chrC
WP_014491892	chrC
WP_038935695	chrC
WP_090347494	chrC
WP_010661781	chrC
WP_092914551	chrC
WP_015928898	chrC
WP_051321126	chrC
WP_029585656	chrC
WP_092843902	chrC
KPF73591	chrC
ETW95207	chrC
WP_089946241	chrC
WP_082548977	chrC
AJD40979	chrC
OGA63314	chrC
WP_081434975	chrC
WP_092237248	chrC
WP_051976836	chrC
WP_018321031	chrC
WP_027559930	chrC
WP_026191041	chrC
WP_059401074	chrC
WP_005797796	chrC
WP_003074448	chrC
WP_023708320	chrC
WP_043240373	chrC
WP_071909491	chrC
WP_080134841	chrC
WP_039154116	chrC
WP_060909003	chrC
OYX49865	chrC
WP_079544975	chrC
OYW36479	chrC
KQP94169	chrC
WP_092226370	chrC
WP_083954451	chrC
WP_046987170	chrC
WP_075678361	chrC
WP_013722015	chrC
ODU05573	chrC
WP_082765411	chrC
WP_012631191	chrC
WP_019198943	chrC
WP_070398441	chrC
ODT89450	chrC
WP_095792158	chrC
WP_095771956	chrC
WP_012335807	chrC
WP_079571480	chrC
WP_087745642	chrC
WP_010661794	chrC
WP_069105897	chrC
WP_023723871	chrC
WP_027299518	chrC
WP_095787217	chrC
WP_023758561	chrC
WP_070398437	chrC
WP_031204003	chrC
WP_023669886	chrC
OLE64585	chrC
WP_056642933	chrC
OYW89453	chrC
WP_023804779	chrC
WP_037447433	chrC
WP_011483417	chrC
OJU30557	chrC
GAN50861	chrC
WP_084570550	chrC
WP_024879164	chrC
WP_012385484	chrC
WP_018266231	chrC
OAI52496	chrC
WP_088140529	chrC
WP_026599035	chrC
WP_024880583	chrC
KRB44763	chrC
WP_082602041	chrC
WP_014891315	chrC
WP_083966992	chrC
WP_014893080	chrC
WP_076468624	chrC
WP_076018648	chrC
WP_019867452	chrC
WP_027300691	chrC
OFX06952	chrC
WP_094746409	chrC
WP_088154009	chrC
WP_027536317	chrC
WP_028150840	chrC
WP_011090796	chrC
OLB96755	chrC
WP_064037045	chrC
WP_064029037	chrC
WP_036278750	chrC
WP_092827561	chrC
WP_092115179	chrC
GAB59180	chrC
WP_096875880	chrC
ESZ86427	chrC
WP_084758186	chrC
WP_072897652	chrC
OLB70952	chrC
WP_007645336	chrC
AGU10801	chrC
WP_064042216	chrC
WP_054761910	chrC
WP_064021158	chrC
WP_066550237	chrC
WP_031269116	chrC
WP_056932927	chrC
EIW90154	chrC
OHC95122	chrC
WP_081095187	chrC
ODU83110	chrC
ABK50578	chrC
WP_041413376	chrC
WP_051699994	chrC
WP_043150357	chrC
WP_066046168	chrC
ABF53493	chrC
WP_024298163	chrC
WP_087147836	chrC
WP_020485859	chrC
ABO70325	chrA
WP_075657559	chrA
WP_034367497	chrA
CBL87892	chrA
WP_050415799	chrA
WP_017677029	chrA
WP_051231744	chrA
SAI73048	chrA
SCY86049	chrA
WP_011870416	chrA
WP_013965819	chrA
KYP12579	chrA
WP_008060505	chrA
WP_043386231	chrA
WP_020166052	chrA
WP_012080891	chrA
OJW52114	chrA
OGT74976	chrA
WP_024300774	chrA
WP_015437241	chrA
OGB72094	chrA
WP_076593961	chrA
PHM20744	chrA
SFD15004	chrA
WP_057785403	chrA
WP_096446266	chrA
WP_066702581	chrA
WP_024302363	chrA
WP_051709821	chrA
WP_026182810	chrA
WP_088179623	chrA
WP_097304022	chrA
WP_061534488	chrA
WP_007880172	chrA
WP_057677207	chrA
WP_096510599	chrA
WP_011766689	chrA
WP_057387414	chrA
OGT73771	chrA
WP_069038440	chrA
WP_018230612	chrA
WP_061542512	chrA
WP_092417127	chrA
WP_092400373	chrA
WP_084236014	chrA
OGB69386	chrA
WP_090320458	chrA
WP_028450113	chrA
WP_059319183	chrA
WP_046352493	chrA
KJS77482	chrA
WP_085722898	chrA
WP_093559355	chrA
WP_008061214	chrA
ERT16552	chrA
WP_007943909	chrA
OGP03430	chrA
WP_073672924	chrA
WP_035383508	chrA
WP_047391567	chrA
ESQ65954	chrA
WP_063957287	chrA
WP_014236240	chrA
WP_050475648	chrA
WP_057387493	chrA
WP_092314115	chrA
WP_018608677	chrA
WP_038983801	chrA
OYU06876	chrA
WP_046046713	chrA
WP_008001373	chrA
WP_076965150	chrA
WP_065341011	chrA
WP_015275858	chrA
WP_033991594	chrA
WP_031653253	chrA
WP_073656993	chrA
WP_033985559	chrA
WP_095151513	chrA
WP_041743713	chrA
WP_039912841	chrA
OCX91468	chrA
WP_042924883	chrA
WP_028623335	chrA
WP_007933865	chrA
WP_060755811	chrA
WP_095133264	chrA
WP_033060108	chrA
WP_056743830	chrA
WP_026345743	chrA
WP_073472945	chrA
WP_089417785	chrA
WP_092435895	chrA
WP_034012868	chrA
WP_049695820	chrA
WP_065257328	chrA
WP_025810202	chrA
OGB17968	chrA
WP_011289280	chrA
WP_066882657	chrA
WP_015766807	chrA
WP_076566407	chrA
WP_008039094	chrA
WP_046056808	chrA
WP_056783548	chrA
WP_071174674	chrA
WP_046038271	chrA
WP_095600985	chrA
WP_050977768	chrA
WP_074937811	chrA
KPY31602	chrA
WP_056840930	chrA
WP_065617495	chrA
WP_077185771	chrA
WP_046817272	chrA
WP_092238484	chrA
WP_057396802	chrA
WP_008024725	chrA
WP_018925604	chrA
WP_064618707	chrA
WP_095180642	chrA
WP_069557033	chrA
WP_095058512	chrA
WP_075944830	chrA
WP_086009347	chrA
WP_028456591	chrA
WP_095051155	chrA
WP_096374659	chrA
WP_081360651	chrA
WP_063431645	chrA
OGB48342	chrA
WP_008955928	chrA
WP_042607415	chrA
WP_047528070	chrA
WP_008154698	chrA
WP_043251769	chrA
WP_039589823	chrA
WP_048728974	chrA
WP_027923942	chrA
WP_014086792	chrA
WP_045217876	chrA
WP_085687228	chrA
WP_085730946	chrA
WP_071550437	chrA
WP_038578081	chrA
WP_019690678	chrA
SIR12343	chrA
WP_041478859	chrA
WP_083353367	chrA
WP_039760921	chrA
WP_096004972	chrA
WP_023100536	chrA
WP_083728289	chrA
WP_031653037	chrA
WP_057395971	chrA
WP_008059980	chrA
WP_017903842	chrA
WP_077430144	chrA
WP_040068158	chrA
WP_004882854	chrA
WP_043302881	chrA
WP_023966089	chrA
WP_054597085	chrA
WP_058160067	chrA
WP_064362570	chrA
AKN28035	chrA
WP_057410744	chrA
WP_073526855	chrA
WP_046027178	chrA
PHN60552	chrA
OGT21636	chrA
WP_035038940	chrA
WP_042561600	chrA
WP_060765784	chrA
WP_087467945	chrA
WP_047882838	chrA
WP_018990499	chrA
WP_034148915	chrA
WP_003246777	chrA
WP_016491288	chrA
WP_096480019	chrA
WP_028940196	chrA
WP_090468734	chrA
WP_053195628	chrA
WP_085648893	chrA
WP_069144508	chrA
WP_090369767	chrA
WP_053161012	chrA
WP_019821362	chrA
WP_033898332	chrA
WP_032894815	chrA
WP_066096833	chrA
CBA27895	chrA
WP_048329643	chrA
WP_095460529	chrA
WP_092576026	chrA
WP_019579496	chrA
WP_016567487	chrA
WP_069084923	chrA
WP_023101957	chrA
WP_076580830	chrA
WP_090502528	chrA
WP_020799558	chrA
WP_025163560	chrA
WP_053279712	chrA
WP_016771248	chrA
WP_064566671	chrA
WP_079204312	chrA
WP_020306948	chrA
WP_012079794	chrA
WP_064308209	chrA
WP_008068203	chrA
WP_095053362	chrA
WP_054050412	chrA
WP_095635121	chrA
KIS44768	chrA
WP_065758810	chrA
KDN99995	chrA
KFB77139	chrA
WP_076427762	chrA
WP_017131919	chrA
KYP12875	chrA
WP_024012003	chrA
WP_033044319	chrA
WP_074779155	chrA
OJW67515	chrA
WP_028628127	chrA
WP_044874503	chrA
WP_064301758	chrA
WP_008006266	chrA
WP_069519491	chrA
WP_037009592	chrA
WP_094038460	chrA
WP_095967286	chrA
WP_024766872	chrA
WP_037009034	chrA
WP_064595436	chrA
KFB69020	chrA
WP_009394058	chrA
WP_056853467	chrA
WP_038633387	chrA
WP_035885790	chrA
WP_090456140	chrA
WP_085721577	chrA
WP_085277498	chrA
WP_076468620	chrA
OMG83087	chrA
OGB04903	chrA
WP_007904580	chrA
WP_044463649	chrA
WP_041147115	chrA
WP_075747467	chrA
WP_063343335	chrA
WP_048394786	chrA
WP_030128923	chrA
WP_051939530	chrA
WP_034155549	chrA
WP_095187577	chrA
WP_064389330	chrA
WP_096820494	chrA
WP_049310670	chrA
WP_003450618	chrA
WP_053269343	chrA
WP_093222792	chrA
WP_083596709	chrA
WP_095945716	chrA
WP_015269953	chrA
WP_047933804	chrA
SKC22155	chrA
SES94171	chrA
WP_056193901	chrA
WP_084091019	chrA
WP_052963007	chrA
WP_050683384	chrA
WP_038983810	chrA
WP_054614353	chrA
WP_065327820	chrA
WP_092430517	chrA
WP_096779042	chrA
WP_088190580	chrA
WP_007645338	chrA
WP_028682134	chrA
WP_041986004	chrA
WP_009049596	chrA
WP_008253006	chrA
WP_045632394	chrA
WP_017245821	chrA
WP_054572802	chrA
WP_024086775	chrA
WP_019751571	chrA
ARD60987	chrA
WP_060541963	chrA
WP_090282874	chrA
WP_056802553	chrA
WP_015095544	chrA
WP_007976024	chrA
WP_027618476	chrA
WP_077572304	chrA
WP_095047945	chrA
AGZ35992	chrA
WP_058545616	chrA
WP_008021975	chrA
WP_045158621	chrA
WP_053527482	chrA
WP_079327319	chrA
WP_034300441	chrA
WP_061550939	chrA
WP_039613358	chrA
WP_077524497	chrA
WP_090231548	chrA
WP_085598464	chrA
WP_021445970	chrA
WP_027908188	chrA
WP_016982841	chrA
WP_092166494	chrA
WP_092472707	chrA
WP_046784612	chrA
WP_085616283	chrA
WP_085588194	chrA
WP_013972061	chrA
WP_084339707	chrA
WP_071920739	chrA
WP_074754185	chrA
WP_064118898	chrA
WP_095118374	chrA
WP_051376097	chrA
WP_025214706	chrA
WP_053120797	chrA
WP_058178324	chrA
WP_075045459	chrA
WP_095648108	chrA
WP_013096587	chrA
WP_046044031	chrA
WP_008051227	chrA
WP_007982121	chrA
WP_098964458	chrA
WP_095668905	chrA
WP_094564113	chrA
WP_084025360	chrA
WP_046613780	chrA
WP_025339470	chrA
WP_050705359	chrA
WP_095455214	chrA
ALK93067	chrA
WP_056727929	chrA
WP_088620685	chrA
WP_090262321	chrA
WP_088421100	chrA
WP_017519219	chrA
WP_003183221	chrA
WP_014339324	chrA
WP_095159987	chrA
WP_074722476	chrA
WP_047228515	chrA
WP_045057670	chrA
WP_095941523	chrA
WP_003242444	chrA
WP_012020101	chrA
WP_053158574	chrA
WP_010448305	chrA
WP_058067567	chrA
WP_085717721	chrA
WP_085622422	chrA
OGP02235	chrA
WP_027469635	chrA
WP_010223558	chrA
WP_096825281	chrA
WP_024616345	chrA
WP_054060461	chrA
WP_090209024	chrA
WP_010799671	chrA
WP_062573724	chrA
WP_084942798	chrA
WP_062364404	chrA
WP_014591483	chrA
WP_064490787	chrA
WP_036995111	chrA
WP_008221558	chrA
WP_008983422	chrA
WP_053178660	chrA
WP_018610022	chrA
WP_077508688	chrA
WP_063913534	chrA
WP_096048050	chrA
WP_069017778	chrA
WP_028689307	chrA
WP_076520857	chrA
WP_076403210	chrA
WP_019438976	chrA
WP_046064741	chrA
WP_055361560	chrA
WP_054063223	chrA
WP_019362332	chrA
WP_012273004	chrA
WP_092441325	chrA
ODS67815	chrA
WP_054883816	chrA
WP_043210698	chrA
WP_010953483	chrA
WP_019437033	chrA
WP_088852726	chrA
WP_094479415	chrA
WP_028700057	chrA
WP_086978282	chrA
WP_087500693	chrA
WP_060738341	chrA
WP_092197261	chrA
WP_020190313	chrA
WP_046238145	chrA
WP_052435193	chrA
WP_020296254	chrA
WP_016713063	chrA
WP_003089083	chrA
SEG15684	chrA
WP_092326872	chrA
WP_072458046	chrA
WP_070574791	chrA
WP_090130535	chrA
KXU98543	chrA
WP_085676034	chrA
WP_060500092	chrA
KJS08370	chrA
WP_023118184	chrA
WP_055985434	chrA
WP_063322148	chrA
WP_072388929	chrA
WP_072430372	chrA
WP_070093207	chrA
WP_087496632	chrA
WP_076877938	chrA
WP_019098265	chrA
WP_057452362	chrA
WP_053149658	chrA
OLS59198	chrA
WP_010795882	chrA
WP_073450396	chrA
WP_074821910	chrA
WP_062559694	chrA
WP_043860740	chrA
WP_012316909	chrA
WP_072346557	chrA
WP_092412692	chrA
WP_092145381	chrA
WP_026145488	chrA
OYY18735	chrA
WP_060512366	chrA
WP_078468870	chrA
WP_016486352	chrA
WP_027608980	chrA
WP_089230078	chrA
WP_028698752	chrA
WP_086976088	chrA
WP_019367381	chrA
WP_047432215	chrA
WP_096291981	chrA
WP_053186943	chrA
WP_095962918	chrA
WP_069577459	chrA
WP_080354725	chrA
WP_080352994	chrA
WP_013647773	chrA
WP_005292668	chrA
WP_082783267	chrA
WP_086208590	chrA
WP_004771222	chrA
WP_094149097	chrA
WP_063454758	chrA
WP_005399447	chrA
OHC23984	chrA
WP_004805239	chrA
WP_087662592	chrA
WP_066986702	chrA
WP_005205353	chrA
WP_004757600	chrA
WP_004761705	chrA
WP_004682735	chrA
WP_016541765	chrA
WP_019838421	chrA
WP_004676727	chrA
WP_004959937	chrA
WP_065342497	chrA
WP_023270365	chrA
WP_005214876	chrA
WP_089604980	chrA
WP_046813335	chrA
WP_004642749	chrA
WP_086496236	chrA
ABO70326	chrB
WP_034367493	chrB
WP_046618242	chrB
SCY86035	chrB
WP_031653039	chrB
WP_023100535	chrB
WP_096004973	chrB
WP_066131868	chrB
WP_028240154	chrB
WP_043386234	chrB
WP_090312557	chrB
WP_052451158	chrB
WP_092432363	chrB
WP_092400987	chrB
WP_092416155	chrB
WP_064308208	chrB
WP_092352079	chrB
WP_098493019	chrB
WP_014236239	chrB
OGB79067	chrB
KXS31899	chrB
WP_013965820	chrB
WP_068170582	chrB
OGB17937	chrB
OGB48340	chrB
WP_008060506	chrB
WP_085986512	chrB
WP_079435017	chrB
WP_050415798	chrB
WP_066986699	chrB
WP_018608675	chrB
WP_057785402	chrB
AFN71161	chrB
WP_024302364	chrB
WP_032676617	chrB
EQM88074	chrB
WP_077732428	chrB
KYP12578	chrB
WP_055317733	chrB
WP_047391570	chrB
WP_028450112	chrB
WP_036276188	chrB
WP_031437424	chrB
WP_027148672	chrB
WP_011870417	chrB
WP_026146983	chrB
WP_088140532	chrB
WP_089417784	chrB
CBA29324	chrB
WP_076468666	chrB
WP_042924881	chrB
WP_063957289	chrB
WP_044874504	chrB
OGB30935	chrB
WP_043222549	chrB
WP_032962045	chrB
WP_032956514	chrB
WP_028623336	chrB
WP_068833840	chrB
WP_070668196	chrB
WP_088154003	chrB
WP_076591781	chrB
WP_096779043	chrB
WP_094038461	chrB
WP_029581004	chrB
WP_087496633	chrB
WP_035052110	chrB
WP_085722897	chrB
OYU06877	chrB
WP_095133262	chrB
WP_046046712	chrB
WP_047012740	chrB
WP_044463166	chrB
WP_011766690	chrB
WP_076520858	chrB
WP_038983802	chrB
WP_056743832	chrB
WP_063431643	chrB
WP_076965151	chrB
WP_065341012	chrB
OHC54824	chrB
KCB32789	chrB
WP_038617476	chrB
WP_057387492	chrB
WP_028682133	chrB
ERT16551	chrB
WP_082889581	chrB
KJS05854	chrB
WP_032959464	chrB
WP_092576023	chrB
WP_056199936	chrB
OGT73772	chrB
WP_020744759	chrB
WP_008154697	chrB
WP_007933863	chrB
WP_092238481	chrB
WP_019580148	chrB
WP_028941319	chrB
WP_095051156	chrB
WP_096479942	chrB
WP_019648545	chrB
WP_025810204	chrB
WP_009049595	chrB
WP_038633384	chrB
WP_024078242	chrB
WP_078468230	chrB
WP_042561601	chrB
WP_033991595	chrB
WP_064042218	chrB
WP_057298628	chrB
WP_049589047	chrB
WP_028628128	chrB
WP_016491289	chrB
WP_008001376	chrB
WP_096374658	chrB
WP_081360652	chrB
WP_069557034	chrB
WP_053279711	chrB
WP_057396801	chrB
WP_097304021	chrB
WP_038578083	chrB
KIH83262	chrB
WP_041986001	chrB
WP_053269342	chrB
WP_031653252	chrB
WP_003450620	chrB
WP_088967873	chrB
WP_043211822	chrB
WP_049310672	chrB
WP_040068160	chrB
WP_046291921	chrB
WP_085687230	chrB
WP_079866877	chrB
WP_012080892	chrB
WP_085730945	chrB
WP_026286370	chrB
WP_064618705	chrB
WP_057387415	chrB
WP_088190581	chrB
ATG89806	chrB
WP_033985561	chrB
WP_041756471	chrB
WP_040503837	chrB
WP_035451483	chrB
WP_026145131	chrB
WP_090448254	chrB
WP_044463648	chrB
WP_058091223	chrB
WP_011786632	chrB
EVT82847	chrB
EJO91637	chrB
WP_074937809	chrB
WP_012018616	chrB
WP_032894813	chrB
WP_024264962	chrB
WP_045780079	chrB
WP_073672925	chrB
WP_076923032	chrB
WP_011464731	chrB
EPJ76320	chrB
WP_044269477	chrB
WP_073526854	chrB
WP_054598312	chrB
WP_055985431	chrB
WP_003089085	chrB
WP_084357247	chrB
WP_069084922	chrB
WP_081492804	chrB
WP_033898333	chrB
WP_096510600	chrB
WP_046784684	chrB
WP_088852738	chrB
WP_065327849	chrB
WP_063913778	chrB
WP_024766873	chrB
WP_077524498	chrB
WP_090502530	chrB
WP_046038270	chrB
WP_085717720	chrB
WP_047882839	chrB
WP_054830611	chrB
WP_031631076	chrB
WP_066096829	chrB
WP_046613781	chrB
WP_054063222	chrB
WP_081006074	chrB
WP_082085934	chrB
WP_084453162	chrB
WP_042948732	chrB
WP_075751133	chrB
WP_084339723	chrB
WP_095648147	chrB
WP_092698744	chrB
ABY99274	chrB
WP_085598462	chrB
WP_090209027	chrB
WP_054883875	chrB
WP_019751570	chrB
WP_085663455	chrB
WP_085588358	chrB
ENA27053	chrB
AHD14990	chrB
WP_017245822	chrB
WP_095460528	chrB
WP_061374252	chrB
WP_020306947	chrB
WP_010448304	chrB
WP_060500108	chrB
WP_086976087	chrB
WP_085616387	chrB
WP_075046994	chrB
ERY38110	chrB
WP_084900802	chrB
OHC16894	chrB
WP_019405247	chrB
WP_016567486	chrB
WP_054888304	chrB
WP_095159989	chrB
WP_049695819	chrB
WP_085676198	chrB
ACA75634	chrB
WP_079327317	chrB
WP_053527481	chrB
WP_011711678	chrB
WP_007645340	chrB
WP_019866780	chrB
WP_024717779	chrB
WP_045632393	chrB
WP_045158622	chrB
WP_033735453	chrB
WP_048414698	chrB
WP_081556251	chrB
WP_048409161	chrB
WP_033012006	chrB
WP_028700058	chrB
OJW67514	chrB
WP_048329642	chrB
WP_081545642	chrB
WP_043633876	chrB
WP_043591653	chrB
WP_060765838	chrB
WP_080660484	chrB
WP_008950134	chrB
WP_081575802	chrB
WP_059548951	chrB
WP_069242514	chrB
WP_070558816	chrB
WP_032645154	chrB
WP_032653834	chrB
WP_077266033	chrB
WP_077269625	chrB
KMA28642	chrB
WP_036278786	chrB
WP_088585572	chrB
WP_039321528	chrB
WP_032724447	chrB
KTB54039	chrB
WP_090347496	chrB
OGT90226	chrB
WP_017899567	chrB
WP_087832989	chrB
SLN99204	chrB
WP_087731054	chrB
WP_077258721	chrB
WP_023318475	chrB
WP_094311865	chrB
WP_077255452	chrB
WP_094929264	chrB
OIO76886	chrB
WP_088620684	chrB
WP_073651930	chrB
WP_004196334	chrB
CZY27494	chrB
WP_077268242	chrB
WP_077260565	chrB
PDP99500	chrB
WP_077268353	chrB
WP_094334498	chrB
WP_077269151	chrB
WP_077261146	chrB
WP_077266012	chrB
SAT77301	chrB
WP_095221136	chrB
WP_077269976	chrB
WP_087771067	chrB
WP_077266835	chrB
WP_077259434	chrB
WP_077253853	chrB
WP_080935633	chrB
WP_077252079	chrB
WP_077269308	chrB
WP_077257241	chrB
WP_077258613	chrB
WP_077267349	chrB
WP_077268162	chrB
WP_085846069	chrB
WP_094308915	chrB
WP_077269431	chrB
WP_077258637	chrB
WP_059768512	chrB
WP_045786188	chrB
WP_013721857	chrB
CAD24361	chrB
WP_045536158	chrB
WP_047611217	chrB
WP_077256905	chrB
WP_077269728	chrB
WP_023316957	chrB
WP_077268638	chrB
WP_040291277	chrB
KFF32582	chrB
WP_059698705	chrB
WP_059702961	chrB
WP_059458527	chrB
WP_059718555	chrB
WP_059493651	chrB
WP_039912889	chrB
WP_059945135	chrB
WP_060348921	chrB
WP_060273338	chrB
WP_059809891	chrB
WP_060256735	chrB
WP_077258615	chrB
WP_033470577	chrB
KJS71947	chrB
WP_035524469	chrB
WP_053515564	chrB
WP_040209928	chrB
WP_025714438	chrB
ESN37985	chrB
WP_077269737	chrB
WP_077260943	chrB
GAB59182	chrB
WP_059818333	chrB
WP_060172436	chrB
WP_063550956	chrB
WP_059870207	chrB
WP_068910230	chrB
WP_014900640	chrB
WP_069017348	chrB
WP_049284883	chrB
WP_019752941	chrB
WP_080896738	chrB
WP_077259505	chrB
